"movie_id","genre"
"area-88-act-ii-the-requirements-of-wolves","Drama"
"blind-2014","Drama"
"toh-baat-pakki","Drama"
"toh-baat-pakki","Comedy"
"the-dawn-of-ape","null"
"broomshakalaka","Comedy"
"forward-back-side-forward-again","null"
"secret-tibet","Documentary"
"almas-penadas","Comedy"
"slugs","Science Fiction"
"macabre-pair-of-shorts","Comedy"
"macabre-pair-of-shorts","Horror"
"be-your-age","Comedy"
"die-erbschaft-1936","null"
"frankenstein-a-love-story","Drama"
"frankenstein-a-love-story","Science Fiction"
"the-hand-that-feeds-the-dead","Horror"
"elijahs-ashes","Comedy"
"elijahs-ashes","Drama"
"the-great-king","Drama"
"the-great-king","War"
"the-great-king","History"
"zabou","Crime"
"99-and-44-100-dead","Action"
"99-and-44-100-dead","Crime"
"99-and-44-100-dead","Comedy"
"99-and-44-100-dead","Adventure"
"riddles-of-the-sphinx-1977","Drama"
"hows-your-prostrate","Comedy"
"hows-your-prostrate","Animation"
"sons-of-ben","Documentary"
"man-on-the-tracks","Drama"
"si-honraras-a-tu-coca-madre","null"
"legacy-of-thorn","Horror"
"adria-holiday-films-1954-68-the-school-of-seeing-i","null"
"selfish","Horror"
"willie-nelson-friends-outlaws-and-angels","null"
"alike","Animation"
"alike","Drama"
"the-bead-game","Animation"
"dont-worry-baby","Drama"
"dont-worry-baby","Comedy"
"house-of-the-sleeping-beauties","Drama"
"house-of-the-sleeping-beauties","Thriller"
"the-missing-scarf","null"
"roger-waters-us-them","Documentary"
"roger-waters-us-them","Music"
"sawin","Horror"
"the-choice-2016-2016","Documentary"
"the-young-bride","Comedy"
"the-young-bride","Drama"
"the-young-bride","Romance"
"teenage-monster","Western"
"teenage-monster","Horror"
"teenage-monster","Science Fiction"
"white-ecstasy","Comedy"
"los-amigos-maravilla","null"
"dancing-arabs","Drama"
"wvlnt","null"
"sync","Action"
"sync","Science Fiction"
"flawless","Comedy"
"flawless","Drama"
"the-luckiest-guy-in-the-world","Crime"
"the-luckiest-guy-in-the-world","Drama"
"free-range","Drama"
"eight-kilos-of-happiness","War"
"eight-kilos-of-happiness","Drama"
"french-exit-2020","Comedy"
"french-exit-2020","Drama"
"deadweight","Drama"
"a-novel-romance-2015","Comedy"
"a-novel-romance-2015","Drama"
"a-novel-romance-2015","Romance"
"a-novel-romance-2015","TV Movie"
"saint-maud","Drama"
"saint-maud","Horror"
"saint-maud","Mystery"
"electric-anomalies","Animation"
"empty-spaces","Drama"
"swing-hostess","Comedy"
"swing-hostess","Drama"
"the-unknown-singer","Drama"
"germs","Comedy"
"germs","Science Fiction"
"persecucion-hasta-valencia","null"
"little-potato","Documentary"
"alanis-morissette-mtv-unplugged","Music"
"future-shock","Horror"
"future-shock","Science Fiction"
"little-lion","Drama"
"quo-vadis-zivorad","Comedy"
"memories-of-a-teenager","Drama"
"dragonheart-a-new-beginning","Fantasy"
"dragonheart-a-new-beginning","Adventure"
"mexican-hayride","Comedy"
"the-solitudes","null"
"prince-live-at-paisley-park-december-31-1987","Music"
"in-search-of-kundun-with-martin-scorsese","Documentary"
"the-tiger-blade","Action"
"the-tiger-blade","Comedy"
"the-tiger-blade","Fantasy"
"the-tiger-blade","Science Fiction"
"beyond-the-blue-horizon-1944","null"
"the-greatest-show-on-earth-the-story-of-the-1974-giro-ditalia","Documentary"
"quentin-tarantino-20-years-of-filmmaking","Documentary"
"abhijan","Drama"
"victims-1982-1","Horror"
"particles-of-truth","null"
"lucrezia-borgia","null"
"sangamam","null"
"pink-on-the-cob","Animation"
"santo-and-blue-demon-against-the-monsters","Fantasy"
"santo-and-blue-demon-against-the-monsters","Action"
"santo-and-blue-demon-against-the-monsters","Adventure"
